id,numero_de_estacion,nombre,direccion,barrio,comuna,emplazamiento,latitud,longitud
230,259,PLAZA CASTELLI,Echeverria 3249,,,,-34.5678255,-58.4645037
494,314,ALLENDE,Allende 2794,,,,-34.6147875,-58.5116722
137,137,AZOPARDO Y CHILE,AZOPARDO 700,,,,-34.6155977,-58.3674923
373,265,PLAZA EXODO JUJEÑO,Liverpool 2812,,,,-34.582336918286785,-58.48108314683206
104,104,FEDERICO LACROZE,Av. Guzman 1100 & Av. Corrientes,,,,-34.587617,-58.45521200000001
33,33,FACULTAD DE MEDICINA,Pres. José Evaristo Uriburu 987,,,,-34.5970909,-58.3989807
503,212,TRES ARROYOS,Paysandú 1491,,,,-34.6072013,-58.45640650000001
168,168,ESTADOS UNIDOS,Estados Unidos & Lima,,,,-34.6186217,-58.3812271
4,4,PLAZA ROMA,Av. Corrientes 100,,,,-34.6030082348981,-58.36885646243477
588,400,HIDALGO,Hidalgo 1210,,,,-34.606152521781205,-58.44175388769684
43,334,CENTRO DE EXPOSICIONES,2133 Figueroa Alcorta,,,,-34.584018,-58.38992100000001
425,394,AV. LA PLATA,Av. La Plata 2400,,,,-34.643012510740405,-58.42284285277861
213,136,ACEVEDO,Acevedo y Padilla,,,,-34.599659,-58.442685
181,181,BILLINGHURST Y MANSILLA,"1520 Billinghurst & Mansilla, Lucio Norberto, General",,,,-34.5926649,-58.412007200000005
311,213,HOSPITAL ALVEAR,Av. Warnes 2626,,,,-34.5972098,-58.47421142999999
573,40,HERRERA,Aristóbulo del Valle 1895,,,,-34.636765893064016,-58.377959686508206
304,395,AGRONOMIA II,Av. Francisco Beiró 2120,,,,-34.5893,-58.48480000000001
362,262,HOLMBERG,Holmberg 2819 y Nahuel Huapi,,,,-34.56603251575768,-58.479879186508185
57,57,BELGRANO,Balcarce 482,,,,-34.61324972988651,-58.37064512890549
536,19,PLAZA  SAN MARTIN,Av. Santa Fe 716,,,,-34.5954737,-58.37748229999999
59,18,INDEPENDENCIA,Idependencia y Bernardo de Irigoyen,,,,-34.617654,-58.380565
480,353,PLAZA VÉLEZ SARSFIELD,Chivilcoy 400,,,,-34.6293335,-58.48360279999999
75,75,PLAZA PRIMERO DE MAYO,238 Pichincha,,,,-34.6122976,-58.3989871
582,343,NEUQUEN,Neuquén 1385,,,,-34.61569987780073,-58.45312848224376
366,360,PLAZA RAMON FALCON,Cnel. Ramón L. Falcón 3992,,,,-34.6352784,-58.48253270000001
316,205,SAN MARTIN,1471 Cucha Cucha,,,,-34.605567,-58.453475
579,363,NAZCA,Elpidio González 2907,,,,-34.60959910878925,-58.483172617161934
560,291,JUAN BAUTISTA ALBERDI,Av. Juan Bautista Alberdi 5799,,,,-34.651081,-58.502125
471,173,EL LIBERTADOR,Av. San Martín 6220,,,,-34.5947293,-58.5033086
505,337,AV. J. B. JUSTO,Emilio Lamarca 915 (y Av. Juan B. Justo),,,,-34.6226411,-58.48202029999999
45,45,URUGUAY,561 Uruguay & Av. Tucuman,,,,-34.6018635,-58.38669339999999
149,149,LIMA,México & Lima,,,,-34.6153266,-58.38136419999999
336,207,PLAZA ARENALES,Nueva York 3949,,,,-34.5997308,-58.5111458
426,396,PLAZA ALBERTI,ARCOS 2665,,,,-34.5557,-58.4579
130,130,RETIRO II,Av. Dr. José María Ramos Mejía 1350,,,,-34.5917376,-58.37436403
172,172,BRASIL,BRASIL&DEFENSA,,,,-34.625426,-58.371082
551,157,LEGUIZAMON,Martiniano Leguizamón 599,,,,-34.644804,-58.518867
8,8,CONGRESO,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",,,,-34.6094218,-58.3893364
524,338,AV. CABILDO,Av. Cabildo 2586,,,,-34.557933,-58.4607027
206,159,FITZ ROY & GORRITI,Fitz Roy & Gorriti,,,,-34.58495,-58.437339
36,36,MAIPÚ,Tucumán 536,,,,-34.6010599,-58.3745346
532,72,INSTITUTO POLITÉCNICO MODELO,Av Constituyentes 5880,,,,-34.573033051099245,-58.5039082871025
271,365,VENANCIO FLORES,Venancio Flores 3170,,,,-34.629967,-58.473725
533,77,CRISOLOGO LARRALDE,Galván 3601,,,,-34.56119069896605,-58.4920304128975
547,23,ALMAGRO,México 4000,,,,-34.620169,-58.422097
569,339,HIPODROMO DE PALERMO,Av. del Libertador 4175,,,,-34.568757,-58.427288
534,81,PARQUE DE LAS CIENCIAS,Soler 5300 ,,,,-34.5829625,-58.42997930000001
12,12,PLAZA VICENTE LOPEZ,Parana & Juncal,,,,-34.5927096,-58.388807
183,183,VIRREY CEVALLOS,Mexico 1652,,,,-34.6156994,-58.3899728
412,372,VILLA SOLDATI,Carlos María Ramírez 2510,,,,-34.6604476,-58.432016800000014
156,156,PLAZA ALEMANIA,2939 Cavia,,,,-34.5775895,-58.407469600000006
235,281,VILLA URQUIZA,Av. Triunvirato 4800,,,,-34.573734,-58.48692409
486,220,PLAZA FELIX LIMA,RAMALLO 2200,,,,-34.5420905,-58.47056989999999
261,272,PLAZA BRUNO GIORDANO,Bruno Giordano&Neuquen,,,,-34.616151,-58.440584
538,47,PARQUE DE LA INNOVACIÓN,Av. G. Udaondo 1146,,,,-34.545091,-58.451432
210,335,GENERAL URQUIZA,Figueroa Alcorta & Sarmiento,,,,-34.572165,-58.411278
517,332,PACÍFICO II,Av. Int. Bullrich 300,,,,-34.5745008,-58.42481399999999
9,9,PARQUE LAS HERAS,"2300 Diaz, Cnel. Av. & French",,,,-34.585443,-58.407741
253,383,BOEDO Y VENEZUELA,BOEDO 339,,,,-34.6163544,-58.4170737
516,368,PLAZA DE LA SHOÁ,Av. Del Libertador 3899,,,,-34.5709984,-58.423346900000006
112,112,9 DE JULIO,Bernardo Irigoyen 320,,,,-34.612075,-58.38038400000001
38,38,PLAZA LIBERTAD,Cerrito 990 y Av. Marcelo T. De Alvear,,,,-34.5970497,-58.382840300000005
96,96,CARLOS GARDEL,3302 Guardia Vieja & Aguero,,,,-34.6027814,-58.4116586
590,392,CHARCAS,Paraguay 4226,,,,-34.58686608967169,-58.42142570059433
277,292,PLAZA BOLIVIA,Olleros Av. & Del Libertador Av.,,,,-34.563539,-58.436115
280,222,SIMON BOLIVAR,"1701 Fernandez Moreno, Baldomero",,,,-34.633528,-58.44937899999999
385,268,PLAZA ARISTÓBULO DEL VALLE,Campana & Marcos Sastre  ,,,,-34.606159914753725,-58.49314134520765
7,7,OBELISCO,CARLOS PELEGRINI 215,,,,-34.606498,-58.381098
54,54,ACUÑA DE FIGUEROA,Lavalle 4015,,,,-34.5982097,-58.422069400000005
41,41,PARQUE PATRICIOS II,Av Caseros 3015,,,,-34.6371232,-58.40588830000001
324,280,JURAMENTO,5209 Juramento,,,,-34.578933,-58.4840556
407,330,PARQUE AVELLANEDA,Remedios 3895,,,,-34.6424248,-58.478266
163,163,ONCE II,Bartolome Mitre & Av. Puyrredon,,,,-34.6095663,-58.4064308
258,336,LA PAMPA,La Pampa 2512 & Ciudad de la Paz,,,,-34.565521,-58.45533400000001
492,325,MEDRANO,3905 Bartolomé Mitre,,,,-34.6097105,-58.4215633
208,145,RAVIGNANI,EMILIO RAVIGNANI 1802,,,,-34.5807161,-58.43840400000001
131,131,HOSPITAL DE CLÍNICAS,"Uriburu Jose E., Pres. & Paraguay",,,,-34.5984043,-58.39901580000001
382,204,BIARRITZ,Biarritz 2403,,,,-34.60543081369964,-58.47725521899702
501,20,GRECIA,Grecia 3290,,,,-34.5492488,-58.4619408
175,147,CONSTITUCIÓN,Avenida Juan de Garay 1050,,,,-34.626851,-58.380707
64,64,RIOBAMBA,Riobamba 1264 & Juncal,,,,-34.5936508,-58.3941087
